Company Name,Average Anual Invoice,Average Anual value,Avg. Days diff,Avg. Item/Invoice,Distinct Item,Distinct Month,Gross Value HC,Inv-Pay gap,No. of Invoice,No. of Order,Pending Amount,Company Type
Company 1,2,45892,2.142857143,1,3,3,91784,89.33333333,4,10,2332,Public
Company 2,1,40320.41667,96.33333333,1,2,3,120961.25,342,3,3,0,Private
Company 3,2,37854,219,1,2,1,37854,,2,2,0,Partnership
Company 4,1,91669.265,79,3.5,7,1,183338.53,374,2,3,2167,Public
Company 5,1,9333,,1,1,1,9333,,1,1,,Private
Company 6,1,4728.63,,1,1,1,4728.63,,1,1,,Partnership
Company 7,1,52632,,2,2,1,52632,,1,1,,Public
Company 8,1.333333333,23213.22667,33,1.5,5,2,69639.68,242.3333333,4,4,0,Private
Company 9,1,12600,,1,1,1,12600,,1,1,,Partnership
Company 10,2,14251.81,,1,1,4,28503.62,170.6666667,4,4,,Public
Company 11,1,12084,,1,1,1,12084,,1,1,,Private
Company 12,1,14214.9,,2,2,1,14214.9,,1,1,,Partnership
Company 13,1,2765,,1,1,1,2765,,1,1,,Public
Company 14,1,5965.63,4,1,2,2,11931.26,1063,2,2,0,Private
Company 15,2,40389.08,,3.5,7,1,40389.08,,2,2,,Partnership
Company 16,1,16707.6,,2,2,1,16707.6,,1,1,,Public
Company 17,1.5,42657.5,,1,1,3,85315,210,3,3,,Private
Company 18,4,210804.63,40,3,11,2,210804.63,18,4,3,70000,Partnership
Company 19,7,105174.0575,28.58139535,1.071428571,7,12,420696.23,35,28,36,0,Public
Company 20,1,24360,27,1,1,1,24360,,1,2,23200,Private
Company 21,3.5,96359.55,1.75,1,3,2,192719.1,284,7,7,51504,Partnership
Company 22,1,25500,16,1,1,1,25500,,1,1,0,Public
Company 23,3.5,121030.7,,2.071428571,19,9,484122.8,85.30769231,14,15,,Private
Company 24,1,18710,14,1,1,1,18710,,1,1,0,Partnership
Company 25,1,20186.35,13,2,2,1,20186.35,,1,1,0,Public
Company 26,1,21252,,1,1,1,21252,,1,1,,Private
Company 27,3,696279.39,31.8,1,1,1,696279.39,2,3,4,423250,Partnership
Company 28,2.666666667,691217.72,171.7142857,1,4,7,2073653.16,215.1666667,8,6,849232,Public
Company 29,1,17120,,3,3,1,17120,,1,1,,Private
Company 30,1,4896,,1,1,1,4896,,1,1,,Partnership
Company 31,1.5,23489.1,8,1,2,3,46978.2,300.5,3,4,7694,Public
Company 32,3,39637.62667,29.75,2.111111111,7,6,118912.88,168.8,9,9,0,Private
Company 33,1.5,22608.3,39,1,2,3,45216.6,124,3,3,0,Partnership
Company 34,4.75,313625.1275,40.7,1.421052632,24,9,1254500.51,83.47058824,19,22,0,Public
Company 35,61.6,11234226.98,69.08135593,1.727272727,146,12,56171134.89,6.68159204,308,449,1555938.43,Private
Company 36,6.333333333,177868.2833,69.15384615,1.789473684,15,9,533604.85,57.4,19,19,15857,Partnership
Company 37,10,2109073.65,104.0714286,1.85,13,6,4218147.3,56.29411765,20,21,102333,Public
Company 38,1.333333333,46243.49,,1.5,2,3,138730.47,333.6666667,4,4,,Private
Company 39,1,11883,16,1,1,1,11883,,1,3,0,Partnership
Company 40,1,2764.06,,4,1,1,2764.06,,1,1,,Private
Company 41,2,5583.35,,1.5,2,1,5583.35,,2,2,,Partnership
Company 42,2,70952.22,1.75,1,2,2,141904.44,37.5,4,4,0,Private
Company 43,1,80278.13,18,1,1,1,80278.13,,1,1,47914,Partnership
Company 44,1,2705,10,1,1,2,5410,290,2,2,0,Private
Company 45,1,13335,11,1,1,1,13335,,1,1,0,Partnership
Company 46,2.75,26736.3075,7.333333333,1.272727273,4,8,106945.23,94.1,11,12,0,Private
Company 47,1.5,17388,,1,2,3,34776,457.5,3,3,,Partnership
Company 48,1,133093.34,,1,1,1,133093.34,,1,3,,Private
Company 49,1,7208,6,1,1,1,7208,,1,1,0,Partnership
Company 50,2.5,714637.5,42,7,7,3,1429275,179.6666667,5,9,0,Private
Company 51,1,7350,,1,1,1,7350,,1,1,,Partnership
Company 52,1,12932.5,,1,1,2,25865,350,2,1,,Private
Company 53,3,27279.21,,1.333333333,4,2,27279.21,128,3,3,,Partnership
Company 54,1,8110.666667,1,1,2,3,24332,309,3,4,0,Private
Company 55,1,18990,,1,1,1,18990,,1,1,,Partnership
Company 56,27.4,1680325.316,28.89,1.700729927,67,12,8401626.58,14.74489796,137,152,0,Private
Company 57,1.75,451323.05,12.83333333,1,2,5,1805292.2,165.5,7,8,1494800,Partnership
